stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
920971,天马新材,38.26,-2.65,12.08,103560.0,404986028.67,9.39,,,,,2026-05-29,derived_from_last_daily_row,20260608
002098,浔兴股份,7.33,-0.95,1.12,40261.0,29736372.82,2.97,,,,,2026-05-29,derived_from_last_daily_row,20260608
001258,立新能源,10.46,1.65,6.07,566814.0,590001520.0,5.83,,,,,2026-05-29,derived_from_last_daily_row,20260608
920693,阿为特,27.12,-4.61,2.41,8815.0,24083295.73,6.72,,,,,2026-05-29,derived_from_last_daily_row,20260608
000882,华联股份,1.5,0.0,3.23,883471.0,134578400.32,4.67,,,,,2026-05-29,derived_from_last_daily_row,20260608
000517,荣安地产,1.88,0.53,1.3,325167.0,62530060.0,6.42,,,,,2026-05-29,derived_from_last_daily_row,20260608
001266,宏英智能,50.02,-5.01,9.11,52986.0,271910152.4,5.13,,,,,2026-05-29,derived_from_last_daily_row,20260608
000868,安凯客车,3.88,-0.26,1.57,114946.0,44884662.28,2.06,,,,,2026-05-29,derived_from_last_daily_row,20260608
002094,青岛金王,5.22,-1.32,2.3,159130.0,83956096.4,2.08,,,,,2026-05-29,derived_from_last_daily_row,20260608
000520,凤凰航运,3.61,-1.9,1.3,131666.0,48031080.0,3.26,,,,,2026-05-29,derived_from_last_daily_row,20260608
002255,海陆重工,9.75,-4.6,4.09,260898.0,259393879.0,5.19,,,,,2026-05-29,derived_from_last_daily_row,20260608
002218,拓日新能,4.56,-1.51,3.94,547222.0,249533243.38,4.1,,,,,2026-05-29,derived_from_last_daily_row,20260608
