stock_code,stock_name,n_daily_rows,first_date,last_date,missing_ratio,download_success
002301,齐心集团,95,2026-01-05,2026-05-29,0.1121,True
002303,美盈森,95,2026-01-05,2026-05-29,0.1121,True
002314,南山控股,95,2026-01-05,2026-05-29,0.1121,True
002321,华英农业,95,2026-01-05,2026-05-29,0.1121,True
002322,理工能科,95,2026-01-05,2026-05-29,0.1121,True
002328,新朋股份,95,2026-01-05,2026-05-29,0.1121,True
002330,得利斯,95,2026-01-05,2026-05-29,0.1121,True
002331,皖通科技,95,2026-01-05,2026-05-29,0.1121,True
002334,英威腾,95,2026-01-05,2026-05-29,0.1121,True
002337,赛象科技,95,2026-01-05,2026-05-29,0.1121,True
002339,积成电子,95,2026-01-05,2026-05-29,0.1121,True
002342,巨力索具,95,2026-01-05,2026-05-29,0.1121,True
002343,慈文传媒,95,2026-01-05,2026-05-29,0.1121,True
002344,海宁皮城,95,2026-01-05,2026-05-29,0.1121,True
002346,柘中股份,95,2026-01-05,2026-05-29,0.1121,True
002348,高乐股份,95,2026-01-05,2026-05-29,0.1121,True
002349,精华制药,95,2026-01-05,2026-05-29,0.1121,True
002350,北京科锐,95,2026-01-05,2026-05-29,0.1121,True
002358,森源电气,95,2026-01-05,2026-05-29,0.1121,True
002361,神剑股份,95,2026-01-05,2026-05-29,0.1121,True
002362,汉王科技,95,2026-01-05,2026-05-29,0.1121,True
002363,隆基机械,95,2026-01-05,2026-05-29,0.1121,True
002365,永安药业,95,2026-01-05,2026-05-29,0.1121,True
002367,康力电梯,95,2026-01-05,2026-05-29,0.1121,True
002369,卓翼科技,95,2026-01-05,2026-05-29,0.1121,True
002374,中锐股份,95,2026-01-05,2026-05-29,0.1121,True
002376,新北洋,95,2026-01-05,2026-05-29,0.1121,True
002377,国创高新,95,2026-01-05,2026-05-29,0.1121,True
002380,科远智慧,95,2026-01-05,2026-05-29,0.1121,True
002386,天原股份,95,2026-01-05,2026-05-29,0.1121,True
002391,长青股份,95,2026-01-05,2026-05-29,0.1121,True
002392,北京利尔,95,2026-01-05,2026-05-29,0.1121,True
002393,力生制药,95,2026-01-05,2026-05-29,0.1121,True
002394,联发股份,95,2026-01-05,2026-05-29,0.1121,True
002395,双象股份,95,2026-01-05,2026-05-29,0.1121,True
002398,垒知集团,95,2026-01-05,2026-05-29,0.1121,True
002401,中远海科,95,2026-01-05,2026-05-29,0.1121,True
002404,嘉欣丝绸,95,2026-01-05,2026-05-29,0.1121,True
002406,远东传动,95,2026-01-05,2026-05-29,0.1121,True
002418,康盛股份,95,2026-01-05,2026-05-29,0.1121,True
002419,天虹股份,95,2026-01-05,2026-05-29,0.1121,True
002420,毅昌科技,95,2026-01-05,2026-05-29,0.1121,True
002427,尤夫股份,95,2026-01-05,2026-05-29,0.1121,True
002437,誉衡药业,95,2026-01-05,2026-05-29,0.1121,True
002438,江苏神通,95,2026-01-05,2026-05-29,0.1121,True
002440,闰土股份,95,2026-01-05,2026-05-29,0.1121,True
002441,众业达,95,2026-01-05,2026-05-29,0.1121,True
002442,龙星科技,95,2026-01-05,2026-05-29,0.1121,True
002443,金洲管道,95,2026-01-05,2026-05-29,0.1121,True
002445,中南文化,85,2026-01-05,2026-05-29,0.2056,True
002446,盛路通信,95,2026-01-05,2026-05-29,0.1121,True
002448,中原内配,95,2026-01-05,2026-05-29,0.1121,True
002449,国星光电,95,2026-01-05,2026-05-29,0.1121,True
002451,摩恩电气,95,2026-01-05,2026-05-29,0.1121,True
002452,长高电气,95,2026-01-05,2026-05-29,0.1121,True
002454,松芝股份,95,2026-01-05,2026-05-29,0.1121,True
002455,百川股份,95,2026-01-05,2026-05-29,0.1121,True
002457,青龙管业,95,2026-01-05,2026-05-29,0.1121,True
002462,嘉事堂,90,2026-01-05,2026-05-29,0.1589,True
002467,二六三,95,2026-01-05,2026-05-29,0.1121,True
002469,三维化学,95,2026-01-05,2026-05-29,0.1121,True
