序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param
340,603381,永臻股份,24364600.87,-9.29,2391234586.45,-7.5009441324,2278400677.12,11701603.35,30739896.11,63834348.53,2407095619.35,24843593.81,24365537.72,2026-04-30,20260331
343,603368,柳药集团,224586456.96,-19.02,5377272243.65,1.1340116172,4755631119.24,146025420.59,95068227.75,40653827.96,5065165311.08,275808800.3,273142798.85,2026-04-30,20260331
346,603357,设计总院,19918980.18,-76.69,345912366.3,-29.7560114849,238588521.74,15840944.83,31730144.4,829082.9,316306786.4,24766785.96,24519759.72,2026-04-30,20260331
349,603350,安乃达,27094102.34,-13.96,470912168.68,-5.4475826454,393480941.85,10098913.39,17517844.67,2896011.05,447322050.96,29648793.87,29558588.85,2026-04-30,20260331
350,603344,星德胜,33570444.52,-19.17,600874399.32,9.3183548855,506265644.19,5013939.7,18333561.01,12989858.7,567923561.5,36955629.59,36604519.56,2026-04-30,20260331
351,603339,四方科技,42346817.91,-13.42,450916699.6,-10.093268287,351682238.69,10975968.16,16361004.02,208843.73,408151009.83,46635360.79,46637995.49,2026-04-30,20260331
352,603336,宏辉果蔬,3008862.6,-33.21,202056446.0,-17.9166369729,182811863.2,1684353.51,8936623.12,3365109.76,197570450.49,4010555.16,3996863.36,2026-04-30,20260331
353,603333,尚纬股份,547850.8,103.779762913429,415248496.67,71.7267141174,350961620.86,15715775.43,18754012.12,5977117.94,411817251.85,6028101.59,5914560.1,2026-04-30,20260331
355,603324,盛剑科技,-26115135.69,-226.65,118577332.94,-63.0885697929,97986638.34,17957353.85,16277609.17,6629835.26,161700543.58,-34647216.98,-34485444.87,2026-04-30,20260331
359,603315,福鞍股份,20074367.3,-24.05,249080742.95,6.2167949834,203031685.66,792903.28,12170765.67,14699718.08,246587211.95,20507684.54,18274330.65,2026-04-30,20260331
362,603286,日盈电子,-5568791.93,24.786899372656,235980638.09,-3.4511357492,186471983.69,8773715.11,25569469.04,3969086.26,241361219.78,-3818661.81,-3823044.0,2026-04-30,20260331
363,603280,南方路机,11214272.46,4.27,189274543.51,41.5795861018,130592749.23,15302724.99,11083560.62,-967199.55,181924525.46,11517601.87,12327953.04,2026-04-30,20260331
364,603278,大业股份,-24557610.16,-598.26,1136418179.38,-6.0915228943,1048159300.22,17961829.93,24372554.9,46316881.17,1155455988.07,-27039446.48,-28889117.37,2026-04-30,20260331
365,603271,永杰新材,119306113.5,57.58,2408398812.49,21.5881052752,2174854793.56,7910939.67,19267697.6,179337.79,2294851844.73,125738871.52,126878912.42,2026-04-30,20260331
366,603266,天龙股份,29807209.27,16.53,320137642.84,5.5047916186,247683800.91,4079034.13,22673715.39,225203.01,291214106.24,33409212.19,33373378.31,2026-04-30,20260331
368,603258,电魂网络,-22563244.48,-1501.33,90263505.43,-11.7086860875,39192177.17,30254110.38,22219685.93,1549390.87,116911092.0,-24865343.85,-24890160.32,2026-04-30,20260331
369,603237,五芳斋,-57288492.27,-26.646544171318,200788178.13,-17.3181063421,125622039.52,93060474.56,34343928.72,2024975.3,263319723.7,-57605509.97,-57887598.36,2026-04-30,20260331
371,603232,格尔软件,-28555098.85,43.121749790863,65926266.18,44.3610795264,35123835.88,15996008.02,30607666.24,402604.14,101838300.91,-25771008.17,-26462906.69,2026-04-30,20260331
373,603222,济民健康,-25921384.02,-90.088897769953,163097985.21,-9.9014835095,108204176.92,31807526.29,27707853.9,6267355.82,185180092.87,-22534596.99,-22692766.17,2026-04-30,20260331
374,603215,比依股份,-16511609.08,-209.99,548874397.97,3.495223513,507148109.35,12997678.6,22065629.45,6829723.32,573676629.88,-21444966.47,-21554626.28,2026-04-30,20260331
376,603211,晋拓股份,11328830.52,-35.68,334003104.81,12.09468307,275437441.82,2788494.32,12886414.89,7266065.74,316140890.48,10952185.12,10922185.12,2026-04-30,20260331
377,603210,泰鸿万立,56132028.85,27.23,531158320.1,20.2963797901,428629905.6,7131141.28,24100198.77,2511051.26,484842696.3,63794501.94,63826419.22,2026-04-30,20260331
380,603191,望变电气,12286841.14,-15.24,888952486.71,13.0306251769,798809583.7,32113502.21,32168658.93,9413496.43,883597099.71,15272909.03,14177637.14,2026-04-30,20260331
388,603168,莎普爱思,-26104017.0,-394.89,98522734.42,-3.1537792145,48482697.13,15393228.81,23191359.91,1969049.67,94062716.87,-25641543.43,-25814816.7,2026-04-30,20260331
389,603167,渤海轮渡,47576404.39,-23.22,312926428.25,-0.5065763751,286013529.66,9750066.41,12079723.62,1086303.31,312375067.2,92421469.82,92513640.16,2026-04-30,20260331
390,603166,福达股份,75104193.5,15.36,503830231.49,6.9515813997,361377261.75,7569707.77,19538149.06,6206357.05,426069178.77,83001421.11,82980383.97,2026-04-30,20260331
391,603165,荣晟环保,75831393.78,7.42,561572868.78,5.2278889316,488447172.87,1361345.41,15929539.73,14678301.57,547950982.91,76910568.59,76590570.13,2026-04-30,20260331
392,603163,圣晖集成,38695596.46,33.66,540921807.1,-5.8505995558,476783554.68,972475.7,15946335.75,-2859395.31,499317097.2,51469886.09,51243497.46,2026-04-30,20260331
395,603158,腾龙股份,53098251.34,17.27,811900749.82,-6.0226081545,627256913.36,16303167.8,46453066.54,14872587.0,757102947.39,69414674.34,68874974.36,2026-04-30,20260331
396,603130,云中马,14368967.69,38.85,565256284.97,-3.5121572322,513152354.02,3553183.14,15720445.62,2520368.06,550673901.52,16702521.62,16711945.8,2026-04-30,20260331
400,603117,万林物流,-6076049.39,-388.88,45916805.94,-25.9551635836,41493475.7,405626.99,12981965.26,1195816.61,57645742.78,-8414001.98,-8414187.62,2026-04-30,20260331
402,603098,森特股份,21516482.82,-36.89,538051372.37,-24.9675450008,425191339.1,30505337.97,39289092.21,9117139.1,527274945.11,27795678.61,27754378.99,2026-04-30,20260331
403,603078,江化微,28776494.41,7.31,321918371.76,16.8752418252,234585687.07,6261437.53,28279171.99,2810915.78,290567870.31,32974142.25,32856892.57,2026-04-30,20260331
