序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
418,603018,华设集团,-547341766.61,-35.6542695848,-109200325.14,-19.9510309283,-343618694.62,-62.7795493752,-94357593.46,-17.2392459732,2026-04-30,20260331
453,601700,风范股份,241649224.4,424.3809300264,283521330.89,117.327639513,-15051089.61,-6.2284866204,-23951126.67,-9.9115263993,2026-04-30,20260331
465,601588,北辰实业,44075860.0,105.5513813425,119507326.0,271.1400889285,-29833255.0,-67.6861551879,-45598211.0,-103.4539337406,2026-04-30,20260331
487,601188,龙江交通,118250809.9,118.4182018159,-116605846.94,-98.6089203436,599215556.84,506.7327296504,-364358900.0,-308.1238093068,2026-04-30,20260331
501,601086,国芳集团,157235602.72,5331.4997461983,127108239.31,80.8393500652,35677767.67,22.6906419747,-5550404.26,-3.52999204,2026-04-30,20260331
509,601007,金陵饭店,-176277695.6,-181.1726869606,137241601.17,77.8553410872,-242990641.42,-137.8453698257,-70467075.88,-39.9750380445,2026-04-30,20260331
513,601002,晋亿实业,87729072.62,223.6823108783,266290771.37,303.5376568078,-163800070.69,-186.7112757472,,,2026-04-30,20260331
516,600992,贵绳股份,59110690.83,-79.1158144964,-73813418.98,-124.873213193,-59549210.33,-100.7418615716,193048597.49,326.5882952463,2026-04-30,20260331
519,600982,宁波能源,-39493348.87,79.8512914604,163851380.99,414.8834821006,-751148297.34,-1901.961517147,547136945.11,1385.390099257,2026-04-30,20260331
521,600973,宝胜股份,1131209943.82,-4.2175139077,-855039602.02,-75.5862876464,-307988537.37,-27.2264701219,2303979953.1,203.6739480312,2026-04-30,20260331
523,600962,国投中鲁,93372582.45,327.7582611018,282085564.11,302.1074888456,-23886530.3,-25.5819531529,-167436896.04,-179.3212650294,2026-04-30,20260331
524,600960,渤海汽车,9290194.46,106.5051277508,10069983.01,108.3936730642,-7158034.93,-77.0493552188,8787830.06,94.5925308435,2026-04-30,20260331
